year,charges_totales_chf,charges_personnel_mch1_chf,charges_biens_services_mch1_chf,charges_interets_mch1_chf,charges_amortissements_mch1_chf,charges_parts_contributions_mch1_chf,charges_remboursements_collectivites_mch1_chf,charges_aides_subventions_privees_mch1_chf,charges_subventions_redistribuees_mch1_chf,charges_attributions_fonds_mch1_chf,charges_imputations_internes_mch1_chf,charges_personnel_mch2_chf,charges_biens_services_mch2_chf,charges_amortissements_mch2_chf,charges_financieres_mch2_chf,charges_attributions_fonds_mch2_chf,charges_transfert_mch2_chf,charges_subventions_redistribuer_mch2_chf,charges_extraordinaires_mch2_chf,charges_imputations_internes_mch2_chf,charges_transfert_administration_generale_chf,charges_transfert_ordre_securite_chf,charges_transfert_formation_chf,charges_transfert_culture_sport_loisirs_eglise_chf,charges_transfert_sante_chf,charges_transfert_prevoyance_sociale_chf,charges_transfert_trafic_telecom_chf,charges_transfert_protection_environnement_chf,charges_transfert_economie_publique_chf,charges_transfert_finances_impots_chf,charges_transfert_prevoyance_maladie_accident_chf,charges_transfert_prevoyance_invalidite_chf,charges_transfert_prevoyance_vieillesse_survivants_chf,charges_transfert_prevoyance_famille_jeunesse_chf,charges_transfert_prevoyance_chomage_chf,charges_transfert_prevoyance_aide_sociale_asile_chf,charges_transfert_fonc_total_chf,cpi_dec1982_base100,pib_nominal_chf,pib_reel_chf,population_canton,population_vevey,salaire_median_vaud_chf,salaire_median_vaud_approx_chf,salaire_median_vaud_approx_method,subsides_maladie_pc_avs_ai_chf,subsides_maladie_ri_cas_rigueur_chf,subsides_maladie_partiels_chf,subsides_maladie_collectif_agees_chf,subsides_maladie_total_chf,taxes_canton_impot_revenu_pp_chf,taxes_canton_impot_fortune_pp_chf,taxes_canton_impot_source_pp_chf,taxes_canton_impot_special_etrangers_pp_chf,taxes_canton_autres_impots_directs_pp_chf,taxes_canton_impot_benefice_pm_chf,taxes_canton_impot_capital_pm_chf,taxes_canton_impot_complementaire_immeubles_pm_chf,taxes_canton_autres_impots_directs_pm_chf,taxes_canton_impot_gains_immobiliers_chf,taxes_canton_impot_gains_capital_chf,taxes_canton_droits_mutation_chf,taxes_canton_droits_timbre_chf,taxes_canton_droits_mutation_timbre_chf,taxes_canton_impot_successions_donations_chf,taxes_canton_impot_chiens_chf,taxes_canton_impot_tombolas_loteries_chf,taxes_canton_impot_appareils_automatiques_chf,taxes_canton_taxes_vehicules_bateaux_cycles_chf,taxes_canton_taxes_routieres_chf,taxes_canton_impot_bateaux_chf,taxes_canton_impot_recupere_apres_defalcation_chf,taxes_canton_chf,taxes_canton_groupe_revenu_personnes_physiques_chf,taxes_canton_groupe_fortune_personnes_physiques_chf,taxes_canton_groupe_autres_personnes_physiques_chf,taxes_canton_groupe_personnes_morales_chf,taxes_canton_groupe_mobilite_chf,taxes_canton_groupe_transactions_chf,taxes_communes_chf,taxes_vevey_chf,wage_index_ch_nominal,wage_index_ch_real
2002,5803478811.67,1930482026.3,399693424.19,274426684.68,261189897.6,58936029.5,429085341.96,2091876878.98,270426539.71,21041467.35,66320521.4,,,,,,,,,,,,,,,,,,,,,,,,,,,149.8,36259652400.0,41359661869.3272,627933.0,15728.0,,5459.0,extrapolated_ch_index_backward,92732125.2848004,41403460.40243386,168100797.61276576,,302236383.3,1761720228.0,317536310.0,60273481.0,40400237.0,,217404327.0,76858567.0,19140199.0,,67440239.0,,108047569.0,4722266.0,,111376115.0,2068650.0,13228500.0,1417357.0,198424813.0,,,2583914.0,3000058858.0000005,1862393946.0,428912425.0,82737389.0,314820450.0,198424813.0,112769835.00000048,2058569283.0,66115007.0,2047.0,287.0
2003,6123011144.23,2030814203.88,417135554.36,278413566.21,274229361.53,82516091.6,486341485.41,2165023489.47,301541855.94,20587699.5,66407836.33,,,,,,,,,,,,,,,,,,,,,,,,,,,150.7,36785620760.0,41318634432.046425,635850.0,15799.0,,5536.0,extrapolated_ch_index_backward,106258357.2,40478979.5,167313477.90000004,,314050814.6,1753551956.0,315259769.0,55645065.0,43173456.0,,212131992.0,79694498.0,16880182.0,,54065042.0,,100604583.0,6404883.0,,68844869.0,3059582.0,14997081.0,296238.0,201330499.0,,,3051777.0,2925939695.0,1852370477.0,384104638.0,72121705.0,309002910.0,201330499.0,107009466.0,2019674657.0,62101600.0,2076.0,289.0
2004,6240749509.48,2063340027.93,423239190.16,292698827.94,297571829.32,60331814.6,466025551.47,2290712459.84,267376388.67,15378962.0,64074457.55,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,39255451480.0,43839008424.836174,644097.0,16329.0,,5587.0,extrapolated_ch_index_backward,110921357.65,44100609.65,146829272.09999996,,301851239.4,2182134025.0,365658125.0,79391133.0,53387833.0,,311561838.0,100687505.0,15953505.0,,81199360.0,,135014400.0,6581885.0,,132421238.0,3038118.0,17454541.0,309556.0,201849996.0,,,7622203.0,3686643058.0,2314912991.0,498079363.0,101692019.0,428512404.0,201849996.0,141596285.0,1887620560.0,55982002.0,2095.0,289.0
2005,6362152411.4,1880627189.98,384954339.47,260292614.36,430043102.9,74334531.62,441660989.58,2485071191.35,358363547.83,13930067.66,32874836.65,,,,,,,,,,,,,,,,,,,,,,,,,,,153.7,39578972730.0,43823699747.104515,650791.0,16664.0,,5640.0,extrapolated_ch_index_backward,116427734.1,51549288.55,96287631.04999998,,264264653.7,2468720125.0,349725666.0,80748550.0,54281555.0,,294383843.0,94622930.0,19414008.0,,91292589.0,,134086530.0,7064278.0,,84354126.0,3098736.0,17383408.0,273681.0,204988014.0,,,3919320.0,3904438039.0,2603750230.0,434079792.0,111774733.0,408694462.0,204988014.0,141150808.0,1954453855.0,59443923.0,2115.0,289.0
2006,6580826875.9,1898416587.83,382499297.56,230788226.44,588225820.0,86591419.03,458206867.85,2539436460.36,363686198.2,15921397.03,17054601.6,,,,,,,,,,,,,,,,,,,,,,,,,,,155.4,42239354440.0,45818546765.57024,658659.0,16954.0,,5707.0,extrapolated_ch_index_backward,122961955.0,58564432.0,117870980.0,,299397367.0,2538974933.0,378952068.0,118905838.0,75927892.0,,415576591.0,119662708.0,17576333.0,,102227820.0,,157334409.0,7849563.0,,86472806.0,3340822.0,18731923.0,1282.0,202865312.0,,,3895586.0,4244400300.000001,2733808663.0,465424874.0,124300565.0,552816914.0,202865312.0,165183972.00000095,2103991778.0,66364434.0,2140.0,289.0
2007,7081137566.41,1950030306.7,398918922.34,199264362.68,902930107.38,134850161.26,479333495.86,2601335096.84,376181909.75,22165092.54,16128111.06,,,,,,,,,,,,,,,,,,,,,,,,,,,156.5,45083877190.0,47669291592.66564,668581.0,17109.0,,5800.0,extrapolated_ch_index_backward,125091195.25,63627216.95,119340954.90000004,,308059367.1,2654254512.67,426766942.2,99046820.18,85521642.05,,565397728.48,119600201.5,17810263.4,,139929169.01,,163531363.65,9083578.9,,82188620.1,3358410.0,18483790.75,0.0,206118410.96,,,4390374.0,4591091400.0,2838822974.9,508955562.2999999,161771369.76,702808193.38,206118410.96,172614888.6999998,2263357911.0,62406355.0,2175.0,292.0
2008,7381655217.22,1976587181.16,437184584.76,174531594.56,873162249.3,150910553.62,328305731.25,2997217572.39,397927946.03,34113210.62,11714593.53,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3,48936860460.0,51167282482.291565,684922.0,17676.0,,5918.0,extrapolated_ch_index_backward,124994594.0,62585758.0,124811284.0,,312391636.0,2803467316.62,455930723.55,149829356.34,77447359.9,,531799705.72,126656545.9,19259979.6,,107793484.27,,140822016.35,10005343.65,,91987713.55,3406090.0,17193360.35,0.0,208341514.55,,,2497620.6,4743940510.350001,3030744032.86,547918437.1,128392934.62,677716231.22,208341514.55,150827360.00000095,2344790333.0,65836721.0,2219.0,290.0
2009,7974754344.23,2093821328.8,463629218.98,125970507.33,952942846.12,130111084.42,294109773.72,3407694694.64,437158924.92,60669677.5,8646287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,159.5,47690537110.0,50277208580.80001,697802.0,18001.0,,6043.0,extrapolated_ch_index_backward,129097286.0,66428997.0,149199716.0,,344725999.0,3131399928.37,485101727.06,81622852.23,75532825.45,,637195228.63,51101958.55,22501801.9,,154531069.92,,155459563.95,9108163.15,,72571380.8,3329825.45,18104305.63,0.0,210835757.89,,,12457148.83,5120853537.81,3288555606.0499997,557673107.86,175965200.99999997,710798989.0799999,210835757.89,177024875.9300003,2523366626.0,63685381.0,2266.0,298.0
2010,8113423986.08,2179803866.3,472206311.5,105170141.82,592450183.98,538570223.35,290815609.9,3454169440.75,437034651.08,33802934.2,9400623.2,,,,,,,,,,,,,,,,,,,,,,,,,,,160.6,50600922940.0,53217561486.7425,708177.0,18247.0,,6091.0,extrapolated_ch_index_backward,137651931.0,73707136.0,150527690.0,,361886757.0,3055922950.34,427944857.12,162713278.89,101909848.4,,587314732.13,56908774.5,22941998.5,,170692250.4,,175163536.25,10717414.1,,97154358.5,3429695.0,17963452.34,0.0,214182416.88,,,15603706.69,5120563270.04,3320546077.63,525099215.62,192085397.74,667165505.13,214182416.88,201484657.03999996,2527238862.0,67394232.0,2284.0,298.0
2011,8081360027.74,2246117772.67,475518123.36,83939334.85,329897547.69,331764685.71,296981148.36,3673918787.98,438961439.41,195745401.59,8515786.12,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,51119067940.0,53691417067.22753,721561.0,18364.0,,6150.0,extrapolated_ch_index_backward,148791248.0,81614759.0,165753121.0,,396159127.0,3071435470.03,449820386.51,161582579.31,103065079.75,,642360024.6,71130259.2,22813087.15,,168562666.66,,167794201.35,11628239.8,,89176645.7,3468160.0,17497637.89,0.0,218584813.55,,,19125373.1,5218044624.6,3336083129.09,538997032.21,189528464.55,736303370.95,218584813.55,198547814.25,2363868753.0,61686103.0,2306.0,301.0
